date_of_trip,Member type,count
2010-09-20,Casual,34
2010-09-20,Member,178
2010-09-21,Casual,109
2010-09-21,Member,215
2010-09-22,Casual,117
2010-09-22,Member,260
2010-09-23,Casual,124
2010-09-23,Member,249
2010-09-24,Casual,156
2010-09-24,Member,206
2010-09-25,Casual,267
2010-09-25,Member,272
2010-09-26,Casual,230
2010-09-26,Member,307
2010-09-27,Casual,64
2010-09-27,Member,222
2010-09-28,Casual,101
2010-09-28,Member,310
2010-09-29,Casual,77
2010-09-29,Member,345
2010-09-30,Casual,19
2010-09-30,Member,140
2010-10-01,Casual,164
2010-10-01,Member,414
2010-10-02,Casual,397
2010-10-02,Member,442
2010-10-03,Casual,222
2010-10-03,Member,283
2010-10-04,Casual,58
2010-10-04,Member,268
2010-10-05,Casual,86
2010-10-05,Member,538
2010-10-06,Casual,94
2010-10-06,Member,569
2010-10-07,Casual,162
2010-10-07,Member,707
2010-10-08,Casual,218
2010-10-08,Member,696
2010-10-09,Casual,570
2010-10-09,Member,539
2010-10-10,Casual,621
2010-10-10,Member,476
2010-10-11,Casual,350
2010-10-11,Member,617
2010-10-12,Casual,248
2010-10-12,Member,832
2010-10-13,Casual,237
2010-10-13,Member,894
2010-10-14,Casual,72
2010-10-14,Member,501
2010-10-15,Casual,280
2010-10-15,Member,857
2010-10-15,Unknown,1
2010-10-16,Casual,567
2010-10-16,Member,807
2010-10-17,Casual,597
2010-10-17,Member,735
2010-10-18,Casual,194
2010-10-18,Member,943
2010-10-19,Casual,194
2010-10-19,Member,955
2010-10-20,Casual,166
2010-10-20,Member,974
2010-10-21,Casual,194
2010-10-21,Member,1134
2010-10-21,Unknown,1
2010-10-22,Casual,237
2010-10-22,Member,1125
2010-10-23,Casual,760
2010-10-23,Member,938
2010-10-24,Casual,718
2010-10-24,Member,826
2010-10-25,Casual,227
2010-10-25,Member,1100
2010-10-26,Casual,267
2010-10-26,Member,1287
2010-10-27,Casual,142
2010-10-27,Member,875
2010-10-28,Casual,357
2010-10-28,Member,1337
2010-10-28,Unknown,1
2010-10-29,Casual,416
2010-10-29,Member,1236
2010-10-30,Casual,1157
2010-10-30,Member,1133
2010-10-30,Unknown,2
2010-10-31,Casual,988
2010-10-31,Member,954
2010-11-01,Casual,236
2010-11-01,Member,1215
2010-11-02,Casual,182
2010-11-02,Member,1223
2010-11-03,Casual,180
2010-11-03,Member,1310
2010-11-04,Casual,45
2010-11-04,Member,544
2010-11-05,Casual,294
2010-11-05,Member,1560
2010-11-06,Casual,604
2010-11-06,Member,1212
2010-11-07,Casual,394
2010-11-07,Member,1020
2010-11-08,Casual,163
2010-11-08,Member,1436
2010-11-09,Casual,215
2010-11-09,Member,1719
2010-11-10,Casual,226
2010-11-10,Member,1822
2010-11-10,Unknown,1
2010-11-11,Casual,417
2010-11-11,Member,1632
2010-11-12,Casual,396
2010-11-12,Member,1624
2010-11-13,Casual,915
2010-11-13,Member,1350
2010-11-14,Casual,822
2010-11-14,Member,1183
2010-11-15,Casual,218
2010-11-15,Member,1517
2010-11-15,Unknown,1
2010-11-16,Casual,62
2010-11-16,Member,710
2010-11-17,Casual,180
2010-11-17,Member,1743
2010-11-18,Casual,191
2010-11-18,Member,1665
2010-11-19,Casual,250
2010-11-19,Member,1704
2010-11-19,Unknown,1
2010-11-20,Casual,837
2010-11-20,Member,1514
2010-11-21,Casual,563
2010-11-21,Member,1189
2010-11-22,Casual,257
2010-11-22,Member,1648
2010-11-23,Casual,161
2010-11-23,Member,1604
2010-11-24,Casual,157
2010-11-24,Member,1322
2010-11-25,Casual,196
2010-11-25,Member,357
2010-11-26,Casual,197
2010-11-26,Member,581
2010-11-27,Casual,362
2010-11-27,Member,576
2010-11-28,Casual,207
2010-11-28,Member,737
2010-11-29,Casual,96
2010-11-29,Member,1388
2010-11-30,Casual,94
2010-11-30,Member,1165
2010-12-01,Casual,40
2010-12-01,Member,939
2010-12-02,Casual,89
2010-12-02,Member,1369
2010-12-03,Casual,113
2010-12-03,Member,1473
2010-12-04,Casual,246
2010-12-04,Member,958
2010-12-05,Casual,166
2010-12-05,Member,845
2010-12-06,Casual,48
2010-12-06,Member,1134
2010-12-07,Casual,46
2010-12-07,Member,1026
2010-12-08,Casual,59
2010-12-08,Member,1075
2010-12-09,Casual,71
2010-12-09,Member,1197
2010-12-10,Casual,73
2010-12-10,Member,1203
2010-12-11,Casual,182
2010-12-11,Member,947
2010-12-12,Casual,43
2010-12-12,Member,377
2010-12-13,Casual,46
2010-12-13,Member,987
2010-12-14,Casual,38
2010-12-14,Member,805
2010-12-14,Unknown,1
2010-12-15,Casual,43
2010-12-15,Member,1006
2010-12-16,Casual,12
2010-12-16,Member,657
2010-12-17,Casual,35
2010-12-17,Member,819
2010-12-18,Casual,84
2010-12-18,Member,739
2010-12-19,Casual,101
2010-12-19,Member,698
2010-12-20,Casual,54
2010-12-20,Member,971
2010-12-21,Casual,50
2010-12-21,Member,986
2010-12-22,Casual,100
2010-12-22,Member,996
2010-12-22,Unknown,1
2010-12-23,Casual,61
2010-12-23,Member,677
2010-12-24,Casual,72
2010-12-24,Member,271
2010-12-25,Casual,102
2010-12-25,Member,86
2010-12-26,Casual,15
2010-12-26,Member,69
2010-12-27,Casual,26
2010-12-27,Member,272
2010-12-28,Casual,69
2010-12-28,Member,620
2010-12-29,Casual,111
2010-12-29,Member,812
2010-12-30,Casual,148
2010-12-30,Member,955
2010-12-31,Casual,283
2010-12-31,Member,651
2011-01-01,Casual,330
2011-01-01,Member,629
2011-01-02,Casual,130
2011-01-02,Member,651
2011-01-03,Casual,120
2011-01-03,Member,1181
2011-01-04,Casual,107
2011-01-04,Member,1429
2011-01-05,Casual,82
2011-01-05,Member,1489
2011-01-06,Casual,88
2011-01-06,Member,1485
2011-01-07,Casual,148
2011-01-07,Member,1345
2011-01-08,Casual,68
2011-01-08,Member,871
2011-01-09,Casual,54
2011-01-09,Member,748
2011-01-10,Casual,41
2011-01-10,Member,1257
2011-01-11,Casual,43
2011-01-11,Member,1188
2011-01-12,Casual,25
2011-01-12,Member,1116
2011-01-13,Casual,37
2011-01-13,Member,1346
2011-01-14,Casual,54
2011-01-14,Member,1330
